campus,branch,marks,year
Pilani,B.E. Computer Science,315,2026
Pilani,B.E. Mathematics and Computing,303,2026
Pilani,B.E. Electrical & Communication,291,2026
Goa,B.E. Computer Science,290,2026
Hyderabad,B.E. Computer Science,289,2026
Goa,B.E. Mathematics and Computing,282,2026
Hyderabad,B.E. Mathematics and Computing,282,2026
Goa,B.E. Electronics & Communication,273,2026
Hyderabad,B.E. Electronics & Communication,272,2026
Pilani,B.E. Electrical & Electronics,270,2026
Goa,B.E. Electronics and Computer,267,2026
Pilani,B.E. Electronics & Instrumentation,263,2026
Pilani,M.Sc. Economics,260,2026
Goa,B.E. Electrical & Electronics,258,2026
Pilani,M.Sc. Mathematics,256,2026
Hyderabad,B.E. Electrical & Electronics,254,2026
Goa,M.Sc. Economics,249,2026
Pilani,B.E. Mechanical,249,2026
Goa,B.E. Electronics & Instrumentation,247,2026
Hyderabad,B.E. Electronics & Instrumentation,244,2026
Pilani,M.Sc. Physics,242,2026
Hyderabad,M.Sc. Economics,242,2026
Pilani,M.Sc. Semiconductor and Nanoscience,240,2026
Pilani,B.E. Chemical,235,2026
Goa,M.Sc. Mathematics,232,2026
Goa,M.Sc. Physics,230,2026
Goa,M.Sc. Semiconductor and Nanoscience,227,2026
Hyderabad,M.Sc. Semiconductor and Nanoscience,227,2026
Hyderabad,M.Sc. Mathematics,227,2026
Goa,B.E. Mechanical,222,2026
Pilani,M.Sc. Chemistry,218,2026
Hyderabad,M.Sc. Chemistry,216,2026
Hyderabad,B.E. Mechanical,216,2026
Hyderabad,M.Sc. Physics,216,2026
Hyderabad,B.E. Chemical,213,2026
Goa,M.Sc. Chemistry,212,2026
Pilani,B.E. Manufacturing,211,2026
Pilani,M.Sc. Biological Sciences,209,2026
Hyderabad,M.Sc. Biological Sciences,208,2026
Goa,M.Sc. Biological Sciences,207,2026
Goa,B.E. Chemical,206,2026
Pilani,B.E. Civil,206,2026
Hyderabad,B.E. Civil,204,2026
Goa,B.E. Environmental and Sustainability,187,2026
Pilani,B. Pharm,161,2026
Hyderabad,B. Pharm,151,2026
