campus,branch,marks,year
Pilani,B.E. Computer Science,311,2026
Goa,B.E. Computer Science,283,2026
Pilani,B.E. Electrical & Electronics,270,2026
Hyderabad,B.E. Computer Science,270,2026
Goa,B.E. Electronics & Communication,260,2026
Pilani,B.E. Electronics & Instrumentation,259,2026
Pilani,M.Sc. Economics,256,2026
Hyderabad,B.E. Electronics & Communication,254,2026
Goa,B.E. Electrical & Electronics,243,2026
Pilani,B.E. Mechanical,240,2026
Goa,M.Sc. Economics,237,2026
Hyderabad,B.E. Electrical & Electronics,231,2026
Pilani,M.Sc. Mathematics,228,2026
Pilani,M.Sc. Physics,227,2026
Goa,B.E. Electronics & Instrumentation,226,2026
Hyderabad,M.Sc. Economics,224,2026
Hyderabad,B.E. Electronics & Instrumentation,221,2026
Goa,B.E. Mechanical,209,2026
Pilani,B.E. Chemical,207,2026
Goa,M.Sc. Mathematics,204,2026
Goa,M.Sc. Physics,204,2026
Pilani,B.E. Manufacturing,193,2026
Hyderabad,M.Sc. Mathematics,191,2026
Hyderabad,B.E. Mechanical,190,2026
Pilani,M.Sc. Chemistry,184,2026
Hyderabad,M.Sc. Physics,183,2026
Pilani,M.Sc. Biological Sciences,183,2026
Pilani,B.E. Civil,175,2026
Goa,M.Sc. Biological Sciences,168,2026
Goa,B.E. Chemical,164,2026
Goa,M.Sc. Chemistry,164,2026
Hyderabad,M.Sc. Biological Sciences,161,2026
Hyderabad,B.E. Chemical,160,2026
Hyderabad,M.Sc. Chemistry,156,2026
Hyderabad,B.E. Civil,151,2026
Pilani,B. Pharm,146,2026
Hyderabad,B. Pharm,137,2026
