campus,branch,marks,year
Pilani,B.E. Computer Science,325,2026
Goa,B.E. Computer Science,304,2026
Hyderabad,B.E. Computer Science,296,2026
Pilani,B.E. Electrical & Electronics,287,2026
Pilani,B.E. Electronics & Instrumentation,280,2026
Pilani,B.E. Mechanical,279,2026
Goa,B.E. Electronics & Communication,275,2026
Hyderabad,B.E. Electronics & Communication,273,2026
Pilani,M.Sc. Economics,273,2026
Goa,B.E. Electrical & Electronics,268,2026
Pilani,M.Sc. Physics,266,2026
Pilani,B.E. Chemical,265,2026
Pilani,M.Sc. Mathematics,262,2026
Goa,M.Sc. Economics,261,2026
Hyderabad,B.E. Electrical & Electronics,259,2026
Goa,B.E. Mechanical,255,2026
Goa,B.E. Electronics & Instrumentation,254,2026
Hyderabad,B.E. Electronics & Instrumentation,253,2026
Hyderabad,M.Sc. Economics,252,2026
Goa,M.Sc. Physics,249,2026
Pilani,M.Sc. Chemistry,245,2026
Goa,M.Sc. Mathematics,245,2026
Pilani,B.E. Civil,243,2026
Pilani,B.E. Manufacturing,241,2026
Hyderabad,B.E. Mechanical,240,2026
Pilani,M.Sc. Biological Sciences,237,2026
Hyderabad,M.Sc. Mathematics,236,2026
Hyderabad,M.Sc. Physics,232,2026
Goa,M.Sc. Chemistry,232,2026
Hyderabad,B.E. Civil,230,2026
Hyderabad,B.E. Chemical,230,2026
Goa,B.E. Chemical,230,2026
Goa,M.Sc. Biological Sciences,229,2026
Hyderabad,M.Sc. Chemistry,228,2026
Hyderabad,M.Sc. Biological Sciences,225,2026
Hyderabad,B. Pharm,203,2026
Pilani,B. Pharm,201,2026
